"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active","S","Z","D1","D2","Y"
"yes",0,22.66667,1.79,0.03404134,50.02833,"no","no",0,3,1,0,1,1,0,0,3.32919398593965
"yes",0,38.25,5.1,0.08108,344.0067,"yes","no",3,126,1,17,3,1,1,1,3.93377226562837
"yes",0,46.25,8.94,0.02528568,188.295,"yes","no",0,96,1,17,4,0,0,1,-5.69620094249572
"yes",0,50.33333,7.1,0.04148197,245.3517,"yes","no",2,12,1,0,2,0,0,0,-1.19369072929662
"yes",0,32.08333,2.4,0.1426413,285.2825,"yes","no",0,96,0,8,3,1,1,1,4.14498150141138
"yes",1,30.58333,3.305,0.006686838,17.58333,"no","no",0,19,1,12,2,0,0,0,-0.490894796505415
"yes",0,38.83333,6.5,0.2897866,1569.677,"yes","no",4,117,1,18,1,1,0,0,3.94561025795
"yes",0,39.58333,4.81,0.01105884,43.74417,"yes","no",1,8,1,9,5,0,1,1,-2.18267305894517
"yes",0,39.66667,3,0.02240434,55.76083,"yes","yes",1,132,1,22,3,0,0,0,1.20457911004401
"yes",0,41.66667,2.7,0.04356111,97.5125,"yes","no",2,28,1,11,2,1,0,1,-1.93811618702447
"yes",0,38.83333,5.4,0.01299352,58.05416,"yes","yes",0,108,1,17,4,0,0,1,1.00796677726438
"yes",0,37.08333,8.124,0.03150603,213.1292,"yes","yes",3,120,1,5,2,0,0,0,-0.161945840517088
"yes",0,27.83333,3.04,0.03792664,95.9975,"no","no",0,13,1,0,2,0,0,0,-1.04302886806858
"yes",1,29.5,2.08,0.03545144,61.19917,"yes","no",2,12,1,11,5,0,1,1,-0.835741211158197
"yes",0,28.91667,1.511,0.0007941761,0,"no","no",0,44,1,15,2,1,0,1,-1.80686801326921
"no",1,31.08333,3,4e-04,0,"yes","no",2,51,1,2,1,0,0,0,2.45619121880206
"yes",0,30.33333,2.6,0.2956862,640.6533,"yes","no",0,25,1,4,5,0,1,1,0.556613068819853
"yes",0,37.41667,2.5,0.0298332,61.73583,"yes","no",2,120,0,4,4,0,0,1,-0.621647936479301
"yes",0,44.58333,3.5,0.01198229,34.53167,"yes","no",1,33,1,13,4,0,0,1,-3.29536927654655
"yes",0,25.33333,2.4,0.1066462,213.2925,"no","no",0,5,1,10,5,0,1,1,1.07273940074353
"yes",0,26.83333,2.32,0.007586207,14,"no","no",0,2,1,0,4,1,0,1,2.33494546080051
"yes",0,46.16667,2.58,0.07673334,164.6433,"yes","no",2,120,0,15,1,0,0,0,3.61358684519704
"yes",0,28.08333,2.1,0.09068,158.6067,"yes","no",1,24,0,11,4,1,0,1,-0.809647026267518
"yes",0,38.41667,2.35,0.06853744,133.9692,"no","no",1,72,1,8,4,1,0,1,-3.29839853253324
"yes",0,46.75,2.8,0.0004285714,0,"yes","no",1,84,1,2,5,0,1,1,2.47937827223851
"no",2,52.25,3.7,0.0003243243,0,"no","no",4,1,1,6,5,1,1,1,0.849115035641152
"no",0,37.16667,1.68,0.0007142857,0,"yes","no",3,120,0,8,4,0,0,1,-1.53995979680897
"no",0,25.33333,2.64,0.0004545455,0,"no","no",0,24,1,33,2,1,0,1,-1.40773407136407
"yes",1,28.25,2.3,0.03489609,66.30083,"yes","no",1,24,1,14,2,0,0,0,-0.938395607398001
"yes",2,35.33333,6.888,0.01023621,58.50583,"yes","no",0,5,1,18,2,1,0,1,-2.22788793803931
"no",4,25.41667,4,3e-04,0,"no","no",0,36,1,32,1,1,0,0,3.71718195468957
"yes",0,28.16667,2,0.06025,100.4167,"yes","no",1,38,0,8,2,0,0,0,-1.64150371661386
"no",0,19,1.97,0.0006091371,0,"no","no",1,24,1,2,4,1,0,1,-2.89665474707298
"yes",0,25.41667,3,0.01046967,25.5075,"no","no",2,3,1,11,4,1,0,1,2.48425429013069
"yes",0,26.08333,2.75,0.1835625,420.5808,"yes","no",1,6,1,11,2,0,0,0,-1.47860754828689
"yes",0,31.25,5,0.0743784,309.91,"yes","no",2,12,1,12,4,1,0,1,0.623779499607267
"yes",0,33.66667,2.1,0.0449081,78.25584,"no","no",4,12,1,0,3,0,0,0,0.43799972945808
"yes",0,27.91667,4,0.03709175,123.2225,"yes","no",2,2,1,0,4,1,0,1,-2.79412233369054
"yes",1,48.33333,3,0.03187233,79.17583,"yes","yes",0,180,1,12,1,1,0,0,2.92578098492774
"yes",0,36.83333,3.3,0.1568097,431.1433,"no","no",0,3,1,0,4,1,0,1,-3.28630842626323
"no",3,45.41667,2.35,0.0005106383,0,"no","no",0,36,1,15,5,1,1,1,1.08898745621709
"no",2,53,2.16,0.0005555556,0,"no","yes",0,74,0,5,2,1,0,1,-2.53734109811539
"yes",0,27.58333,3.9,0.04137513,134.3858,"yes","no",3,12,1,6,1,1,0,0,4.42805184990289
"yes",0,40,2.3115,0.02862341,54.96917,"no","no",1,158,1,9,4,0,0,1,-1.40399228430745
"yes",0,49.16667,1.7,0.0007058823,0,"no","no",1,14,0,6,1,1,0,0,2.43250989489381
"yes",0,40.33333,2,0.0723855,120.5592,"no","no",0,24,1,4,1,0,0,0,1.91224357607128
"yes",0,23.83333,4.8,0.0801425,320.4867,"no","yes",0,42,1,2,1,1,0,0,4.32101019376084
"yes",0,34.25,3,0.5409953,1352.488,"yes","no",0,72,1,3,4,1,0,1,1.13345156015663
"yes",0,21.41667,1.56,0.06716603,87.14917,"no","no",0,24,0,5,1,0,0,0,3.71950439392656
"yes",0,39.33333,2,0.049059,81.265,"yes","no",2,200,1,9,3,0,0,0,0.66809726909543
"yes",0,24.25,2.6,0.2969185,643.3233,"no","no",1,10,1,11,5,1,1,1,-0.438292241370316
"yes",0,47.83333,4.68,0.03474402,134.9183,"yes","no",1,210,1,6,1,0,0,0,4.06034336593422
"yes",0,34.83333,4,0.2582515,860.755,"no","yes",0,204,0,6,2,0,0,0,-2.13271957032262
"yes",0,52.25,1.8744,0.0552038,85.97833,"yes","no",0,250,1,4,2,0,0,0,-1.21033802210897
"yes",3,47.5,3.1,0.1792845,463.1517,"no","no",0,24,1,15,4,0,0,1,-1.16491987073982
"yes",0,25.75,2.8,0.05751464,134.2008,"no","no",0,6,0,3,5,0,1,1,2.18863799166266
"yes",0,24.08333,2.04,0.1136103,192.7208,"no","no",0,109,1,5,4,0,0,1,3.50349196236371
"yes",0,24.5,2.1,0.3213481,562.3592,"no","no",0,28,1,5,4,1,0,1,-1.40413319701931
"yes",0,22.33333,2,0.164968,274.9467,"no","no",0,13,1,7,4,0,0,1,2.56320227472589
"yes",0,33.16667,5.6,0.08529589,398.0475,"yes","no",4,84,1,4,4,0,0,1,-2.59194837821276
"yes",0,38.91667,3,0.04979033,124.4758,"yes","no",1,84,1,11,2,0,0,0,-1.04539658101344
"yes",0,22.16667,2.4,0.08183375,163.4175,"no","no",0,23,1,0,4,0,0,1,-1.47783752857467
"yes",0,23.33333,1.85,0.06057946,93.31,"no","no",0,4,1,1,5,0,1,1,-1.95617694059767
"yes",0,24.08333,2.9,0.04706862,113.2492,"yes","no",0,60,1,3,5,0,1,1,2.98020208413272
"no",0,26.66667,2,6e-04,0,"no","yes",1,63,1,2,2,0,0,0,-1.81772332347543
"yes",0,52.41667,1.89,0.02392328,37.42916,"no","no",0,240,1,6,1,1,0,0,2.32992015439602
"yes",0,20.25,2,0.204897,341.245,"no","no",0,24,1,7,4,0,0,1,-3.93915420628813
"yes",0,25.41667,1.6417,0.3715959,508.2908,"no","no",0,19,1,9,4,1,0,1,-2.59649160209804
"no",4,22.75,2.34,0.0005128205,0,"no","no",0,61,1,6,2,1,0,1,-1.30609021112496
"yes",0,24.41667,1.9,0.2731216,432.3592,"no","no",0,19,1,6,1,1,0,0,2.00629504631016
"yes",0,21.5,1.53,0.03650327,46.29167,"yes","no",0,22,1,11,4,1,0,1,-0.313572685616324
"yes",0,22.41667,3.9946,0.07619161,253.6292,"no","no",0,268,1,2,2,1,0,1,-1.54773999265195
"yes",0,46.33333,1.6,0.04630688,61.7425,"no","no",0,162,1,11,4,0,0,1,-1.73567745495494
"yes",0,19.41667,1.8,0.08415,125.8917,"no","no",0,3,1,0,4,1,0,1,-0.036170656753443
"yes",1,29.83333,3.7,0.595776,1836.976,"no","no",0,24,1,7,5,1,1,1,0.574685024697657
"yes",0,28.91667,2.1,0.009285714,15.58333,"no","no",0,28,1,5,4,1,0,1,-0.314048122711577
"yes",0,26.66667,2,0.03145,51.75,"no","no",1,6,1,1,4,1,0,1,-0.6955332924542
"no",1,44.83333,2.6,0.0004615385,0,"yes","no",0,48,1,1,1,0,0,0,4.67391946012022
"yes",0,27,2.675,0.03482019,77.28667,"yes","no",0,135,1,0,2,1,0,1,-2.90532688775982
"no",1,30.16667,4.16,0.0002884615,0,"yes","yes",2,37,1,15,5,0,1,1,5.46532672259464
"yes",0,24.83333,2.1,0.1375624,240.4842,"no","no",1,24,1,5,4,0,0,1,-3.64929028290367
"yes",0,28,2.4,0.0337825,67.39833,"no","no",1,24,1,4,4,1,0,1,2.38800576325691
"yes",0,39.16667,3.12,0.02673974,69.27333,"yes","yes",2,66,1,5,2,1,0,1,-2.24576912266301
"yes",0,31.41667,3,0.06917133,172.5717,"yes","no",1,24,1,13,5,1,1,1,-1.92104610933919
"yes",0,40.41667,3.115,0.07675923,199.0042,"yes","no",1,60,1,11,1,1,0,0,2.15175008363466
"no",3,23.16667,1.6213,0.0007401468,0,"no","no",1,144,0,4,4,1,0,1,1.54007934535814
"yes",0,43.58333,4.3681,0.04429271,160.4792,"yes","no",2,110,1,10,1,0,0,0,4.93302241579369
"no",0,25.16667,2.534,0.0004735596,0,"no","no",0,14,1,3,4,0,0,1,0.227342139154952
"no",2,40.58333,3.1,0.0003870968,0,"yes","no",1,66,1,5,4,0,0,1,-1.43627223851363
"no",7,32.08333,2.7161,0.0004418099,0,"no","no",1,60,0,10,4,1,0,1,0.704333342630151
"yes",0,42.16667,4.04,0.01336535,44.41333,"no","no",0,5,1,6,1,1,0,0,4.65521896823963
"yes",0,47.33333,2.7495,0.2148416,492.2558,"no","no",0,156,0,11,4,0,0,1,-0.836071130468444
"yes",0,27.83333,3,0.1608053,401.93,"no","no",1,24,1,2,4,0,0,1,0.651708823472826
"yes",0,30.66667,3.15,0.06829016,179.1783,"yes","no",1,19,1,9,2,0,0,0,-0.286711662193824
"no",0,38.5,5.97,0.000201005,0,"yes","no",1,3,1,19,5,1,1,1,0.395501529006532
"yes",0,31,2.6,0.0841927,182.1675,"no","no",0,5,1,0,4,1,0,1,-1.68576421803565
"no",0,47.91667,8.4,0.0001428571,0,"yes","no",3,6,1,0,3,1,1,1,3.64505808516454
"yes",0,21.91667,1.95,0.03838103,61.9525,"no","no",0,40,0,4,3,0,0,0,1.24101127742735
"yes",0,36.75,3,0.032497,80.82584,"yes","no",3,134,0,4,2,1,0,1,-2.07918723548232
"yes",0,23.5,2.8,0.003928571,8.333333,"yes","no",0,12,1,3,4,1,0,1,-5.05125073209248
"yes",1,25.33333,4.55,0.04465253,169.0575,"yes","no",1,42,1,10,1,0,0,0,2.84374208918498
"yes",0,21.25,1.99,0.03496332,57.98083,"no","no",2,8,1,5,2,0,0,0,-0.842392390721487
"yes",0,48.91667,4.5,0.05416889,203.1333,"no","no",2,17,1,0,1,1,0,0,2.15318050621878
"no",0,35.58333,4,3e-04,0,"no","no",2,70,1,1,1,0,0,0,0.827073198009925
"yes",0,39.08333,3.5,0.06206229,181.015,"yes","no",1,42,1,0,1,0,0,0,2.2820937996273
"no",1,27.66667,2.15,0.0005581395,0,"no","no",0,97,1,1,4,1,0,1,-0.547484996662791
"no",0,23.25,1.62,0.0007407407,0,"no","no",0,32,1,7,4,1,0,1,-2.52356605459519
"yes",0,31.16667,3.5,0.1656494,483.0608,"no","no",1,14,0,0,2,1,0,1,-1.71908943897909
"yes",0,26.83333,2.9,0.006872069,15.94083,"yes","yes",1,26,1,3,2,0,0,0,-0.0590645623732998
"yes",0,39.25,3.4064,0.06364079,180.655,"no","yes",1,120,1,7,2,0,0,0,-0.933326953228552
"yes",0,24.83333,4,0.00165,4.583333,"no","yes",2,48,1,4,4,1,0,1,-5.20353754216426
"yes",0,27.16667,2.6,0.8778461,1902,"no","no",0,4,1,7,4,1,0,1,0.360983275430228
"yes",0,24.66667,2.0676,0.2071184,356.7817,"no","no",0,4,1,17,4,1,0,1,-4.20790162510905
"yes",0,44.66667,2.4,5e-04,0,"no","no",0,36,1,11,1,0,0,0,3.67716979283273
"yes",0,25.16667,3.42,0.008915205,24.575,"no","no",0,3,1,0,4,1,0,1,1.63836064747365
"yes",0,21.91667,6.7,0.05414866,302.2467,"no","no",0,8,1,6,4,0,0,1,-1.23219594104741
"yes",0,40.41667,5.43,0.007506077,33.215,"no","no",0,14,1,11,5,1,1,1,-2.93990425978859
"yes",0,24.08333,1.62,0.01050802,13.68583,"no","no",0,12,0,4,2,1,0,1,-2.16241033613907
"yes",0,31.83333,2.4192,0.05800388,116.3525,"no","no",0,24,1,7,4,0,0,1,-3.74581745989655
"yes",0,24.66667,3.4,0.05114029,144.3975,"no","no",0,12,1,8,2,1,0,1,-1.50913644508861
"yes",0,47.41667,3.6,0.03811111,113.75,"yes","yes",2,120,1,12,2,1,0,1,-2.31276229561604
"yes",0,27.16667,2.5,0.0887728,184.9433,"no","no",0,12,1,8,2,1,0,1,-2.71277627270152
"yes",0,49.58333,1.75,0.01074229,15.3325,"yes","no",1,38,1,3,4,1,0,1,-4.09043334018003
"yes",0,32,2.5,0.0544468,113.1808,"no","no",0,8,1,5,2,0,0,0,-1.28817655015361
"yes",0,35,4.5,0.01022222,37.58333,"yes","no",3,144,1,3,3,0,0,0,0.837417582794971
"no",1,26.16667,2.466,0.000486618,0,"yes","no",0,14,1,20,5,0,1,1,1.86029458765761
"yes",0,20.66667,2.7,0.06984445,156.9,"no","no",1,38,1,10,4,0,0,1,-1.15487651744665
"no",0,34.25,2.4,5e-04,0,"no","no",0,27,1,2,4,1,0,1,2.42084884504568
"yes",0,49.83333,6.9,0.06075971,349.2017,"yes","no",3,160,0,0,2,0,0,0,-1.32357396966001
"yes",0,40.75,4.8,0.1537802,615.1208,"yes","no",3,122,1,17,5,1,1,1,0.843429059009929
"yes",0,20.83333,1.92,0.1300521,208.0833,"no","no",0,84,1,6,4,0,0,1,1.62498069429108
"yes",0,40.33333,2.8,0.03813821,88.73917,"no","no",3,19,0,0,1,1,0,0,1.5365919200682
"yes",0,25.08333,1.6949,0.02467697,34.52083,"no","no",0,3,0,16,4,1,0,1,-1.8914024061922
"yes",0,29.33333,3.5,0.1257411,366.745,"no","no",0,19,1,0,2,1,0,1,-1.33774538735275
"yes",1,40.5,2.25,0.02382222,44,"no","no",0,86,1,10,3,1,1,1,4.35574482701773
"no",2,30.75,2.315,0.0005183585,0,"no","no",1,17,1,8,4,1,0,1,0.495558670612039
"yes",0,30.66667,4,0.09011575,299.8858,"yes","no",1,37,0,6,2,1,0,1,-1.8366361948799
"yes",0,40,4.5,0.09576601,359.1225,"no","no",5,2,1,0,4,1,0,1,-1.86476985109031
"yes",0,23,3.1782,0.09312976,246.5708,"no","no",0,17,1,3,2,1,0,1,-1.3884032976219
"yes",0,23.08333,3,0.02586333,63.99166,"no","no",0,3,1,0,4,1,0,1,-5.50118665840678
"yes",0,31.33333,3,0.020658,51.645,"yes","no",2,44,0,12,4,0,0,1,-1.03909006467196
"no",0,24.58333,2,6e-04,0,"no","no",0,7,0,6,1,0,0,0,3.41160559140438
"yes",0,36.5,3.5,0.2171703,633.4133,"yes","no",0,95,1,17,4,0,0,1,-0.69054317485063
"yes",0,0.5833333,4,0.0726635,242.1283,"yes","no",3,24,1,4,4,1,0,1,1.71628572405536
"no",0,28.83333,2.58,0.0004651163,0,"yes","no",0,41,1,11,2,0,0,0,-0.372298855445212
"yes",0,45.58333,11.9999,0.02006617,200.4933,"yes","yes",1,24,1,6,3,0,0,0,1.38364823374201
"yes",1,0.5,3.7,0.01063703,32.46416,"no","no",0,186,0,5,2,1,0,1,-1.65852815123989
"no",0,23.25,1.434,0.0008368201,0,"yes","no",0,12,1,6,4,1,0,1,1.15156938829598
"yes",0,38.91667,3.68,0.01952256,59.61917,"yes","no",3,44,1,11,5,1,1,1,2.29406061576987
"no",0,23.83333,2.55,0.0004705882,0,"yes","no",2,24,1,0,4,0,0,1,-2.85791876783515
"no",4,37.25,3.5,0.0003428572,0,"yes","no",2,15,1,9,1,0,0,0,5.03191333156703
"yes",0,28.25,2.3,0.1644965,315.2017,"yes","no",1,13,0,4,2,0,0,0,-0.926340854486797
"yes",0,26.25,3.1894,0.09721233,258.2908,"no","no",0,10,1,11,4,0,0,1,3.60530917456664
"yes",0,26.5,2.35,0.0005106383,0,"no","no",0,36,1,11,3,0,0,0,0.978623094507148
"no",4,25.83333,1.97,0.0006091371,0,"no","no",0,7,1,6,2,0,0,0,-1.26157794092321
"yes",0,41.25,3.6,0.1525236,457.4875,"yes","no",3,68,1,10,4,0,0,1,-5.19035662083771
"no",1,38.58333,3.2,0.000375,0,"no","no",2,14,1,6,1,1,0,0,2.80650884418509
"yes",0,34.75,2,0.0033,4.583333,"yes","no",2,38,1,6,1,0,0,0,2.20449988763118
"yes",0,31.5,2.85,0.3137003,745.0383,"yes","no",2,30,1,11,1,0,0,0,2.71024264374132
"yes",0,24,3.095,0.0698588,180.1775,"yes","no",1,12,1,23,4,0,0,1,3.94884342427809
"yes",0,25.16667,1.5,0.08980467,111.8392,"yes","no",1,14,1,19,4,0,0,1,3.42902045137622
"yes",0,57.08333,4.8,0.1534315,613.6425,"yes","no",0,138,1,4,2,1,0,1,-1.82737615749122
"yes",0,23.83333,2.6,0.1539746,333.6117,"no","no",0,6,1,0,4,1,0,1,1.5060107279229
"yes",0,23.16667,2.85,0.08745825,207.7133,"yes","no",1,50,0,8,2,1,0,1,-0.76102385566392
"yes",0,28.16667,3.35,0.07162478,199.3692,"yes","no",0,18,1,2,4,1,0,1,-0.151871931579401
"yes",0,32.58333,1.8142,0.05414067,81.435,"yes","no",0,9,1,22,4,1,0,1,-5.41087776286935
"yes",0,34.83333,3.6,0.03882722,116.315,"yes","yes",4,48,1,8,4,1,0,1,-6.6660175839747
"no",0,31.08333,1.515,0.0007920792,0,"no","no",2,20,1,0,4,0,0,1,-3.02058855694316
"yes",0,24.83333,2.4,0.26509,530.18,"no","no",1,24,1,13,5,0,1,1,0.0665395836418367
"no",0,38.66667,3,4e-04,0,"no","no",0,36,0,2,5,1,1,1,3.37304835692181
"no",7,36.91667,3.5,0.0003428572,0,"yes","no",2,60,1,7,2,1,0,1,-1.97735581895463
"yes",0,29.75,3,0.046713,116.4492,"yes","no",1,12,1,8,2,1,0,1,-1.76078185346515
"yes",0,34.75,2.34,0.1833799,357.5908,"yes","no",0,108,0,11,3,0,0,0,0.523844800171339
"yes",0,25.08333,2.1,0.1227771,214.86,"no","no",0,26,1,17,4,1,0,1,-0.867033297617093
"yes",0,22.16667,1.6,0.1506275,200.5867,"yes","no",0,27,1,3,4,0,0,1,-6.55513783828469
"yes",0,26.66667,2.216,0.03075632,56.46333,"no","no",0,10,1,2,4,1,0,1,2.29239735297512
"yes",0,32,3.65,0.006082192,17.66667,"yes","no",2,20,1,17,2,0,0,0,-1.20806878348147
"no",6,39.33333,3.2,0.000375,0,"no","no",0,88,1,7,4,0,0,1,1.11631773231046
"no",0,30.91667,2.6,0.0004615385,0,"no","no",0,5,0,0,5,0,1,1,3.22475976034068
"yes",1,60.08333,6.1,0.0943482,479.4367,"yes","no",1,244,1,14,2,0,0,0,-1.29549836458767
"no",2,36.41667,3,4e-04,0,"no","no",0,74,1,16,3,0,0,0,-0.207699751800331
"yes",0,36.91667,4.5,0.08238,308.925,"yes","no",0,60,1,16,4,1,0,1,-0.244968460911638
"yes",0,28.83333,2.184,0.07956502,144.6417,"yes","no",0,5,1,14,4,0,0,1,2.70525190424865
"no",0,66.5,3.25,0.0003692308,0,"yes","no",3,300,1,13,5,1,1,1,1.25858481932104
"yes",0,35.16667,2.2,0.1334473,244.6533,"yes","no",1,13,1,9,2,0,0,0,-0.940071711006641
"yes",0,74.16666,2.8065,0.01688936,38.83333,"yes","no",0,511,1,10,2,0,0,0,-1.3279196242384
"yes",0,28.41667,2.4304,0.2284344,462.6558,"yes","no",2,29,1,17,4,0,0,1,0.0143376883987991
"yes",0,55.16667,6.7,0.03858522,214.9342,"yes","no",1,300,1,13,1,0,0,0,1.99525474326025
"no",1,38.33333,4,3e-04,0,"yes","yes",3,40,1,7,4,1,0,1,-2.59987891833126
"no",0,37.83333,5.16,0.0002325581,0,"yes","yes",0,86,1,1,5,1,1,1,0.267622142834506
"yes",0,39.66667,5.1,0.05751137,244.4233,"yes","no",3,132,1,15,1,1,0,0,1.78996404145415
"yes",0,44.58333,4.2,0.03867167,135.1842,"yes","no",2,150,0,2,2,1,0,1,-2.15500131338659
"yes",0,30.75,5.6,0.03980107,185.7383,"yes","no",0,1,0,8,5,0,1,1,3.35863420974328
"yes",0,23.41667,1.86,0.2670521,413.5975,"no","no",0,3,1,4,5,0,1,1,0.214847261832645
"no",0,27.41667,1.64,0.0007317073,0,"no","no",0,104,1,0,4,1,0,1,-1.06324695776243
"yes",0,51.91667,6.8,0.002705882,14.66667,"no","no",0,38,0,5,2,0,0,0,-1.53163658154937
"yes",0,22.83333,1.8468,0.011423,16.91333,"no","no",0,48,1,4,2,0,0,0,-0.610587131614737
"no",0,22.5,1.8,0.0006666667,0,"no","no",2,4,1,0,4,0,0,1,-7.09523826156365
"no",1,36.83333,3,4e-04,0,"yes","no",1,12,1,16,4,1,0,1,2.44362579326283
"yes",0,36.41667,2.2,0.01145455,20.33333,"yes","no",0,77,1,0,4,1,0,1,-1.16763127522822
"no",1,22.75,1.8,0.0006666667,0,"no","no",0,6,1,2,1,1,0,0,4.92173533432537
"yes",0,32,2.6,0.002961538,5.583333,"no","no",0,84,1,21,4,1,0,1,5.98830785537776
"no",0,27.08333,2,6e-04,0,"no","no",0,24,1,4,4,0,0,1,3.53299730982803
"yes",0,38.33333,5,0.0572476,238.365,"yes","no",3,9,1,0,3,1,1,1,2.91483238608593
"yes",0,28.66667,4.22,0.08559075,300.9942,"yes","no",1,22,1,3,4,0,0,1,2.46890062747257
"yes",0,38.16667,4.0188,0.1649273,552.3417,"no","no",3,102,0,3,4,1,0,1,-1.73196132489051
"yes",0,26.08333,3,0.045469,113.5892,"no","no",0,28,1,8,5,1,1,1,1.94832455830883
"yes",0,22,3.1532,0.03821515,99.91666,"no","no",0,14,0,3,1,1,0,0,4.33709739029276
"yes",0,23.5,2.8,0.06339286,147.3333,"no","no",0,64,1,8,5,1,1,1,5.1782147599173
"yes",0,29.58333,2.86,0.2015343,480.3233,"no","no",0,47,1,1,4,1,0,1,0.328214912218854
"yes",0,23.08333,2.04,0.1794971,304.895,"no","no",0,12,1,9,3,0,0,0,1.09281123870886
"yes",0,33.83333,3.5,0.02189943,63.45667,"yes","no",0,12,1,8,5,1,1,1,3.5062210005052
"yes",0,64.58334,7.125,0.02533895,149.7,"yes","no",1,241,1,8,5,1,1,1,-1.07571484542257
"no",0,23.5,2.5,0.00048,0,"no","no",0,36,0,0,4,0,0,1,0.840356203052628
"yes",0,23.83333,3.3,0.06044576,166.0592,"no","no",0,2,1,5,1,1,0,0,0.698458021266439
"yes",0,36.91667,2.2,0.08092181,148.19,"no","no",1,8,1,4,4,0,0,1,-0.936518185727244
"yes",1,38.25,3.2,0.04545781,121.2208,"yes","no",1,84,0,12,2,0,0,0,-0.27093603481109
"yes",0,22,4,0.0480585,160.0283,"yes","no",0,27,1,4,1,1,0,0,2.57678755183993
"yes",0,38.5,5.5689,0.04341593,201.4825,"no","no",3,30,1,7,1,0,0,0,1.89120737737277
"yes",0,36.58333,7,0.01020614,59.11917,"yes","no",3,18,1,5,1,1,0,0,3.36901919033196
"no",1,26.25,2.3,0.0005217391,0,"no","no",0,66,1,3,4,0,0,1,5.23029648798222
"yes",0,21.5,5.5,0.07795545,356.8792,"no","no",0,50,1,0,3,0,0,0,1.02659561881483
"yes",1,41.41667,2.5,0.07657401,159.1958,"no","yes",2,131,0,3,3,0,0,0,1.49658860413594
"no",1,40.83333,2.5,0.00048,0,"yes","no",1,96,1,8,4,1,0,1,2.72169333979117
"yes",0,25.16667,8,0.01700675,112.8783,"yes","no",2,18,1,0,4,0,0,1,0.779325666270921
"yes",0,23.5,1.83,0.07156994,108.9775,"no","no",1,12,0,10,4,0,0,1,4.11043784617533
"yes",0,27.25,2.9,0.03821552,91.6875,"no","no",0,9,0,3,4,1,0,1,0.0103184850458804
"no",3,38.75,4.7,0.0002553191,0,"yes","no",3,36,1,8,4,1,0,1,-3.81834613781331
"no",2,23.08333,1.725,0.0006956522,0,"no","no",0,204,0,5,4,1,0,1,-2.05540950893992
"no",0,37.25,1.5548,0.0007718034,0,"no","no",1,36,1,0,4,0,0,1,-2.13164765027992
"yes",0,41.58333,3.82,0.1451636,462.0208,"no","no",2,36,1,2,4,1,0,1,0.30732019754468
"yes",0,52.41667,2.4,0.06928459,138.5692,"no","yes",1,96,1,2,4,0,0,1,-0.247809352732709
"yes",0,31.75,2.4,0.1869583,373.4167,"no","no",1,54,0,1,4,1,0,1,-2.02431381672314
"yes",0,36,3,0.121849,304.6225,"no","no",1,180,1,5,5,1,1,1,3.46765599628898
"yes",0,21.41667,1.6,0.2893312,385.775,"no","no",0,192,1,3,4,1,0,1,-6.64844579544645
"yes",0,42.08333,2.68,0.1430284,319.43,"no","no",1,84,1,0,4,0,0,1,-2.67134525992508
"yes",0,32.33333,6.3,0.08876603,465.9383,"no","yes",4,60,1,7,3,1,1,1,3.60931488121788
"yes",0,24.25,1.6,0.04509,59.78667,"no","no",0,43,1,2,1,0,0,0,1.7367622517565
"yes",0,32.25,2.6,0.07879038,170.4625,"no","no",1,76,0,3,4,1,0,1,-2.03046027930968
"yes",0,28.91667,2.1,0.1384924,242.195,"no","no",2,24,1,7,4,1,0,1,3.14125634740712
"no",1,28.33333,1.9324,0.0006209894,0,"no","no",2,74,1,4,1,0,0,0,2.57445118841084
"yes",0,23.16667,2.5,0.229822,478.7125,"yes","no",0,12,1,4,1,0,0,0,2.70285720634323
"no",1,44.58333,1.8,0.0006666667,0,"no","yes",0,60,1,2,4,1,0,1,-3.39342468897929
"yes",0,31.41667,3.56,0.03320618,98.345,"no","no",0,72,1,9,1,1,0,0,3.54071372386015
"yes",0,24.91667,3.4,0.1063297,301.0175,"no","no",0,17,1,7,1,1,0,0,2.91073549141631
"yes",0,28.25,2.55,0.2395941,509.0542,"no","no",1,90,1,3,3,1,1,1,3.74081929922366
"yes",0,47.41667,4.92,0.0448939,183.8983,"yes","yes",1,288,1,14,2,0,0,0,-1.59302897008097
"yes",0,26.41667,3.9,0.01446872,46.52333,"no","no",0,30,1,13,5,1,1,1,-0.898520989934485
"yes",0,37.08333,5.2,0.05915846,256.1867,"no","no",0,12,0,0,1,1,0,0,0.416306804159451
"yes",0,54.41667,9,0.06282978,470.9733,"yes","no",3,147,1,6,2,0,0,0,-0.918743210222985
"yes",0,35.25,6,0.4582348,2291.174,"no","no",2,10,1,0,4,1,0,1,0.646142292686795
"yes",0,35.5,7.5,0.0205616,128.4267,"yes","no",4,19,1,12,5,0,1,1,0.401722652299444
"yes",0,44.5,9,0.2599927,1949.862,"no","no",2,4,1,7,3,0,0,0,1.4417333372209
"yes",0,20.16667,2.1,0.1538495,269.1533,"no","no",1,27,0,6,2,1,0,1,-3.20750911898365
"yes",0,23.75,3,0.016826,41.48167,"no","no",3,18,1,3,4,1,0,1,-2.57246482537318
"yes",0,27.58333,2.6,0.03666654,79.36083,"no","no",0,168,1,5,2,1,0,1,-1.03485998875111
